time e1 e2 e3
0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 2.1262e-02 3.2890e-01 5.3399e-02
4.0000e-02 3.0106e-02 7.6787e-01 8.0585e-02
6.0000e-02 2.5468e-02 1.3115e+00 1.1911e-01
8.0000e-02 3.0983e-02 1.5192e+00 1.2895e-01
1.0000e-01 3.7394e-02 1.8394e+00 1.5948e-01
1.2000e-01 3.6102e-02 2.0930e+00 1.6843e-01
1.4000e-01 3.7562e-02 2.2966e+00 1.8025e-01
1.6000e-01 9.2667e-02 2.4997e+00 2.1657e-01
1.8000e-01 1.1400e-01 3.1839e+00 2.8747e-01
2.0000e-01 1.0350e-01 3.8368e+00 3.3151e-01
2.2000e-01 7.9967e-02 3.7953e+00 3.0462e-01
2.4000e-01 7.7824e-02 3.9979e+00 2.9465e-01
2.6000e-01 7.5230e-02 4.2487e+00 3.1122e-01
2.8000e-01 6.0748e-02 3.7989e+00 2.6773e-01
3.0000e-01 5.3463e-02 3.9511e+00 2.8607e-01
3.2000e-01 5.4702e-02 4.3093e+00 3.0764e-01
3.4000e-01 5.5694e-02 4.3071e+00 2.9836e-01
3.6000e-01 4.7781e-02 4.3684e+00 3.0175e-01
3.8000e-01 5.1237e-02 4.6715e+00 3.2402e-01
4.0000e-01 7.7340e-02 5.1070e+00 3.5786e-01
4.2000e-01 1.0991e-01 5.2413e+00 3.7563e-01
4.4000e-01 9.5920e-02 5.6202e+00 3.9872e-01
4.6000e-01 6.8772e-02 5.9524e+00 3.9882e-01
4.8000e-01 6.4119e-02 6.1033e+00 4.0354e-01
5.0000e-01 6.4516e-02 6.7279e+00 4.6020e-01
5.2000e-01 6.1499e-02 6.3443e+00 4.2110e-01
5.4000e-01 5.6263e-02 6.0701e+00 3.8887e-01
5.6000e-01 5.5741e-02 6.0479e+00 3.9949e-01
5.8000e-01 6.3288e-02 6.8686e+00 4.5574e-01
6.0000e-01 6.9253e-02 7.3884e+00 4.8799e-01
6.2000e-01 7.1012e-02 7.0861e+00 4.6561e-01
6.4000e-01 9.8891e-02 7.0727e+00 4.7139e-01
6.6000e-01 7.9967e-02 7.5126e+00 4.8415e-01
6.8000e-01 6.4519e-02 7.4694e+00 4.8209e-01
7.0000e-01 7.7799e-02 7.5637e+00 4.8834e-01
7.2000e-01 7.1752e-02 7.8758e+00 4.9669e-01
7.4000e-01 7.0620e-02 7.4655e+00 4.8067e-01
7.6000e-01 6.4945e-02 7.7995e+00 4.9555e-01
7.8000e-01 6.9816e-02 7.6587e+00 4.9081e-01
8.0000e-01 6.9067e-02 7.6535e+00 4.8769e-01
8.2000e-01 6.8470e-02 7.7251e+00 4.9461e-01
8.4000e-01 7.5201e-02 8.1253e+00 5.2045e-01
8.6000e-01 6.0508e-02 8.1321e+00 5.0880e-01
8.8000e-01 6.4473e-02 8.2361e+00 5.1849e-01
9.0000e-01 7.6663e-02 8.7591e+00 5.5469e-01
9.2000e-01 7.6811e-02 8.7474e+00 5.4296e-01
9.4000e-01 6.8642e-02 8.7261e+00 5.4094e-01
9.6000e-01 7.0369e-02 9.3840e+00 5.7450e-01
9.8000e-01 7.8142e-02 9.6917e+00 5.9444e-01
1.0000e+00 8.7044e-02 1.0337e+01 6.4635e-01
